kind,formation_name,letter,slot_id,slot_type,slot_min_max,unit_choice,unit_name,name,team_position_in_unit,team_position_in_slot,team_role,designation,base
formation,Merkava 3 Tank Company,א (Aleph),S1,HQ,1-2,A,Merkava 3 Tank Company HQ,MERKAVA 3,1,1,HQ Tank,001א,20x40
formation,Merkava 3 Tank Company,א (Aleph),S1,HQ,1-2,A,Merkava 3 Tank Company HQ,MERKAVA 3,2,2,HQ Tank,002א,20x40
formation,Merkava 3 Tank Company,א (Aleph),S2a,Combat,1 of 2 mandatory,A,Merkava 3 Tank Platoon (1st),MERKAVA 3,1,1,Tank,101א,20x40
formation,Merkava 3 Tank Company,א (Aleph),S2a,Combat,1 of 2 mandatory,A,Merkava 3 Tank Platoon (1st),MERKAVA 3,2,2,Tank,102א,20x40
formation,Merkava 3 Tank Company,א (Aleph),S2a,Combat,1 of 2 mandatory,A,Merkava 3 Tank Platoon (1st),MERKAVA 3,3,3,Tank,103א,20x40
formation,Merkava 3 Tank Company,א (Aleph),S2b,Combat,2 of 2 mandatory,A,Merkava 3 Tank Platoon (2nd),MERKAVA 3,1,1,Tank,201א,20x40
formation,Merkava 3 Tank Company,א (Aleph),S2b,Combat,2 of 2 mandatory,A,Merkava 3 Tank Platoon (2nd),MERKAVA 3,2,2,Tank,202א,20x40
formation,Merkava 3 Tank Company,א (Aleph),S2b,Combat,2 of 2 mandatory,A,Merkava 3 Tank Platoon (2nd),MERKAVA 3,3,3,Tank,203א,20x40
formation,Merkava 3 Tank Company,א (Aleph),S3,Combat,1 (choice),A,Merkava 3 Tank Platoon,MERKAVA 3,1,1,Tank,301א,20x40
formation,Merkava 3 Tank Company,א (Aleph),S3,Combat,1 (choice),A,Merkava 3 Tank Platoon,MERKAVA 3,2,2,Tank,302א,20x40
formation,Merkava 3 Tank Company,א (Aleph),S3,Combat,1 (choice),A,Merkava 3 Tank Platoon,MERKAVA 3,3,3,Tank,303א,20x40
formation,Merkava 3 Tank Company,א (Aleph),S3,Combat,1 (choice),B,Merkava 2 Tank Platoon,MERKAVA 2,1,4,Tank,304א,20x40
formation,Merkava 3 Tank Company,א (Aleph),S3,Combat,1 (choice),B,Merkava 2 Tank Platoon,MERKAVA 2,2,5,Tank,305א,20x40
formation,Merkava 3 Tank Company,א (Aleph),S3,Combat,1 (choice),B,Merkava 2 Tank Platoon,MERKAVA 2,3,6,Tank,306א,20x40
formation,Merkava 3 Tank Company,א (Aleph),S3,Combat,1 (choice),C,Merkava 1 Tank Platoon,MERKAVA 1,1,7,Tank,307א,20x40
formation,Merkava 3 Tank Company,א (Aleph),S3,Combat,1 (choice),C,Merkava 1 Tank Platoon,MERKAVA 1,2,8,Tank,308א,20x40
formation,Merkava 3 Tank Company,א (Aleph),S3,Combat,1 (choice),C,Merkava 1 Tank Platoon,MERKAVA 1,3,9,Tank,309א,20x40
formation,Merkava 3 Tank Company,א (Aleph),S4,Combat,1,A,Merkava 3 Tank Platoon (3rd),MERKAVA 3,1,1,Tank,401א,20x40
formation,Merkava 3 Tank Company,א (Aleph),S4,Combat,1,A,Merkava 3 Tank Platoon (3rd),MERKAVA 3,2,2,Tank,402א,20x40
formation,Merkava 3 Tank Company,א (Aleph),S4,Combat,1,A,Merkava 3 Tank Platoon (3rd),MERKAVA 3,3,3,Tank,403א,20x40
formation,Merkava 3 Tank Company,א (Aleph),S5,Recce,0-1 (choice),A,Jeep Recce Platoon,JEEP,1,1,Recce,501א,20x30
formation,Merkava 3 Tank Company,א (Aleph),S5,Recce,0-1 (choice),A,Jeep Recce Platoon,JEEP,2,2,Recce,502א,20x30
formation,Merkava 3 Tank Company,א (Aleph),S5,Recce,0-1 (choice),A,Jeep Recce Platoon,JEEP,3,3,Recce,503א,20x30
formation,Merkava 3 Tank Company,א (Aleph),S5,Recce,0-1 (choice),B,M113 Recce Platoon,ZELDA,1,4,Recce,504א,20x30
formation,Merkava 3 Tank Company,א (Aleph),S5,Recce,0-1 (choice),B,M113 Recce Platoon,ZELDA,2,5,Recce,505א,20x30
formation,Merkava 3 Tank Company,א (Aleph),S5,Recce,0-1 (choice),B,M113 Recce Platoon,ZELDA,3,6,Recce,506א,20x30
formation,Merkava 3 Tank Company,א (Aleph),S5,Recce,0-1 (choice),B,M113 Recce Platoon,ZELDA,4,7,Recce,507א,20x30
formation,Merkava 3 Tank Company,א (Aleph),S5,Recce,0-1 (choice),C,Rabbi Recce Platoon,RABBI,1,8,Recce,508א,20x30
formation,Merkava 3 Tank Company,א (Aleph),S5,Recce,0-1 (choice),C,Rabbi Recce Platoon,RABBI,2,9,Recce,509א,20x30
formation,Merkava 3 Tank Company,א (Aleph),S5,Recce,0-1 (choice),C,Rabbi Recce Platoon,RABBI,3,10,Recce,510א,20x30
formation,Merkava 3 Tank Company,א (Aleph),S5,Recce,0-1 (choice),C,Rabbi Recce Platoon,UH-1,4,11,Transport heli,511א,20x40
formation,Merkava 3 Tank Company,א (Aleph),S5,Recce,0-1 (choice),C,Rabbi Recce Platoon,UH-1,5,12,Transport heli,512א,20x40
formation,Merkava 3 Tank Company,א (Aleph),S6,Infantry,0-1 (choice),A,Mech Infantry Platoon,GALIL,1,1,Galil rifle (M72 LAW),601א,40x20
formation,Merkava 3 Tank Company,א (Aleph),S6,Infantry,0-1 (choice),A,Mech Infantry Platoon,GALIL,2,2,Galil rifle (M72 LAW),602א,40x20
formation,Merkava 3 Tank Company,א (Aleph),S6,Infantry,0-1 (choice),A,Mech Infantry Platoon,GALIL,3,3,Galil rifle (M72 LAW),603א,40x20
formation,Merkava 3 Tank Company,א (Aleph),S6,Infantry,0-1 (choice),A,Mech Infantry Platoon,GALIL,4,4,Galil rifle (M72 LAW),604א,40x20
