designation,name,symbol,width,base,hq,formation,group
001א,MERKAVA 3,armor,20,20x40,true,Merkava 3 Tank Company,א
002א,MERKAVA 3,armor,20,20x40,true,Merkava 3 Tank Company,א
101א,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,א
102א,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,א
103א,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,א
201א,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,א
202א,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,א
203א,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,א
301א,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,א
302א,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,א
303א,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,א
304א,MERKAVA 2,armor,20,20x40,,Merkava 3 Tank Company,א
305א,MERKAVA 2,armor,20,20x40,,Merkava 3 Tank Company,א
306א,MERKAVA 2,armor,20,20x40,,Merkava 3 Tank Company,א
307א,MERKAVA 1,armor,20,20x40,,Merkava 3 Tank Company,א
308א,MERKAVA 1,armor,20,20x40,,Merkava 3 Tank Company,א
309א,MERKAVA 1,armor,20,20x40,,Merkava 3 Tank Company,א
401א,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,א
402א,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,א
403א,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,א
501א,JEEP,reconnaissance,20,20x30,,Merkava 3 Tank Company,א
502א,JEEP,reconnaissance,20,20x30,,Merkava 3 Tank Company,א
503א,JEEP,reconnaissance,20,20x30,,Merkava 3 Tank Company,א
504א,M113 ZELDA,reconnaissance,20,20x30,,Merkava 3 Tank Company,א
505א,M113 ZELDA,reconnaissance,20,20x30,,Merkava 3 Tank Company,א
506א,M113 ZELDA,reconnaissance,20,20x30,,Merkava 3 Tank Company,א
507א,M113 ZELDA,reconnaissance,20,20x30,,Merkava 3 Tank Company,א
508א,RABBI,reconnaissance,20,20x30,,Merkava 3 Tank Company,א
509א,RABBI,reconnaissance,20,20x30,,Merkava 3 Tank Company,א
510א,RABBI,reconnaissance,20,20x30,,Merkava 3 Tank Company,א
511א,UH-1,utility helicopter,20,20x40,,Merkava 3 Tank Company,א
512א,UH-1,utility helicopter,20,20x40,,Merkava 3 Tank Company,א
601א,GALIL,infantry,40,40x20,,Merkava 3 Tank Company,א
602א,GALIL,infantry,40,40x20,,Merkava 3 Tank Company,א
603א,GALIL,infantry,40,40x20,,Merkava 3 Tank Company,א
604א,GALIL,infantry,40,40x20,,Merkava 3 Tank Company,א
605א,FN MAG,machine gun,40,40x20,,Merkava 3 Tank Company,א
606א,FN MAG,machine gun,40,40x20,,Merkava 3 Tank Company,א
607א,FN MAG,machine gun,40,40x20,,Merkava 3 Tank Company,א
608א,RPG-7,anti-tank,20,20x20,,Merkava 3 Tank Company,א
